screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[180.4, 250.7]",180,250,95,221,266,283,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,baseline,co_present,"[250.6, 381.7]",250,381,95,304,393,459,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,baseline,co_present,"[175.0, 601.3]",175,601,95,570,256,632,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,baseline,co_present,"[253.8, 732.3]",253,732,95,653,408,808,1,1,1,bracket,tree,62,normalized
clock,World Clock,baseline,co_present,"[324.0, 2181.3]",324,2181,221,2162,426,2202,1,1,1,bracket,tree,59,normalized
clock,Timers,baseline,co_present,"[540.0, 2181.3]",540,2181,482,2162,596,2202,1,1,1,bracket,tree,57,normalized
clock,Stopwatch,baseline,co_present,"[756.0, 2181.3]",756,2181,666,2162,845,2202,1,1,1,bracket,tree,59,normalized
clock,Bedtime,baseline,co_present,"[972.0, 2181.3]",972,2181,900,2162,1042,2202,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,elder_text_heavy,co_present,"[194.4, 261.8]",194,261,95,221,319,304,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,elder_text_heavy,co_present,"[251.6, 401.6]",251,401,95,325,393,480,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,elder_text_heavy,co_present,"[185.8, 632.4]",185,632,95,591,309,674,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,elder_text_heavy,co_present,"[254.9, 772.2]",254,772,95,695,408,850,1,1,1,bracket,tree,62,normalized
clock,World Clock,elder_text_heavy,co_present,"[324.0, 2176.8]",324,2176,216,2160,432,2203,1,1,1,bracket,tree,59,normalized
clock,Timers,elder_text_heavy,co_present,"[540.0, 2181.3]",540,2181,478,2160,600,2203,1,1,1,bracket,tree,57,normalized
clock,Stopwatch,elder_text_heavy,co_present,"[756.0, 2181.3]",756,2181,660,2160,851,2203,1,1,1,bracket,tree,59,normalized
