screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[179, 251]",179,251,95,221,266,283,1,1,1,bracket,vision,0,
clock,8:30 AM,baseline,co_present,"[244, 384]",244,384,95,304,393,459,1,1,1,bracket,vision,0,
clock,Sun Sat,baseline,co_present,"[174, 601]",174,601,95,570,256,632,1,1,1,bracket,vision,0,
clock,9:00 AM,baseline,co_present,"[248, 731]",248,731,95,653,408,808,1,1,1,bracket,vision,0,
clock,World Clock,baseline,co_present,"[323, 2183]",323,2183,221,2162,426,2202,1,1,1,bracket,vision,0,
clock,Timers,baseline,co_present,"[540, 2182]",540,2182,482,2162,596,2202,1,1,1,bracket,vision,0,
clock,Stopwatch,baseline,co_present,"[755, 2181]",755,2181,666,2162,845,2202,1,1,1,bracket,vision,0,
clock,Bedtime,baseline,co_present,"[970, 2182]",970,2182,900,2162,1042,2202,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_text_heavy,co_present,"[207, 261]",207,261,95,221,319,304,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_text_heavy,co_present,"[247, 403]",247,403,95,325,393,480,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_text_heavy,co_present,"[199, 632]",199,632,95,591,309,674,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_text_heavy,co_present,"[254, 771]",254,771,95,695,408,850,1,1,1,bracket,vision,0,
clock,World Clock,elder_text_heavy,co_present,"[323, 2181]",323,2181,216,2160,432,2203,1,1,1,bracket,vision,0,
clock,Timers,elder_text_heavy,co_present,"[540, 2182]",540,2182,478,2160,600,2203,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_text_heavy,co_present,"[756, 2182]",756,2182,660,2160,851,2203,1,1,1,bracket,vision,0,
clock,Bedtime,elder_text_heavy,co_present,"[971, 2182]",971,2182,896,2160,1047,2203,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[205, 288]",205,288,108,252,303,322,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_zoom_heavy,co_present,"[280, 435]",280,435,108,346,448,523,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_zoom_heavy,co_present,"[198, 683]",198,683,108,649,293,719,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_zoom_heavy,co_present,"[292, 833]",292,833,108,743,466,920,1,1,1,bracket,vision,0,
clock,World Clock,elder_zoom_heavy,co_present,"[323, 2151]",323,2151,221,2130,426,2170,1,1,1,bracket,vision,0,
clock,Timers,elder_zoom_heavy,co_present,"[540, 2148]",540,2148,483,2130,597,2170,1,1,1,bracket,vision,0,
