screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[180, 250]",180,250,95,221,266,283,1,1,1,bracket,vision,0,
clock,8:30 AM,baseline,co_present,"[211, 379]",211,379,95,304,393,459,1,1,1,bracket,vision,0,
clock,Sun Sat,baseline,co_present,"[175, 600]",175,600,95,570,256,632,1,1,1,bracket,vision,0,
clock,9:00 AM,baseline,co_present,"[245, 730]",245,730,95,653,408,808,1,1,1,bracket,vision,0,
clock,World Clock,baseline,co_present,"[323, 2186]",323,2186,221,2162,426,2202,1,1,1,bracket,vision,0,
clock,Timers,baseline,co_present,"[539, 2169]",539,2169,482,2162,596,2202,1,1,1,bracket,vision,0,
clock,Stopwatch,baseline,co_present,"[755, 2189]",755,2189,666,2162,845,2202,1,1,1,bracket,vision,0,
clock,Bedtime,baseline,co_present,"[970, 2162]",970,2162,900,2162,1042,2202,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_text_heavy,co_present,"[207, 262]",207,262,95,221,319,304,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_text_heavy,co_present,"[246, 402]",246,402,95,325,393,480,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_text_heavy,co_present,"[201, 632]",201,632,95,591,309,674,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_text_heavy,co_present,"[254, 771]",254,771,95,695,408,850,1,1,1,bracket,vision,0,
clock,World Clock,elder_text_heavy,co_present,"[324, 2168]",324,2168,216,2160,432,2203,1,1,1,bracket,vision,0,
clock,Timers,elder_text_heavy,co_present,"[540, 2120]",540,2120,478,2160,600,2203,0,1,0,bracket,vision,0,
clock,Stopwatch,elder_text_heavy,co_present,"[748, 2179]",748,2179,660,2160,851,2203,1,1,1,bracket,vision,0,
clock,Bedtime,elder_text_heavy,co_present,"[968, 2182]",968,2182,896,2160,1047,2203,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[205, 286]",205,286,108,252,303,322,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_zoom_heavy,co_present,"[254, 435]",254,435,108,346,448,523,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_zoom_heavy,co_present,"[200, 685]",200,685,108,649,293,719,1,1,1,bracket,vision,0,
