screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[173.3, 254.1]",173,254,95,221,266,283,1,1,1,bracket,vision,0,
clock,8:30 AM,baseline,co_present,"[229.5, 392.8]",229,392,95,304,393,459,1,1,1,bracket,vision,0,
clock,Sun Sat,baseline,co_present,"[153.4, 602.5]",153,602,95,570,256,632,1,1,1,bracket,vision,0,
clock,9:00 AM,baseline,co_present,"[229.5, 740.0]",229,740,95,653,408,808,1,1,1,bracket,vision,0,
clock,World Clock,baseline,co_present,"[280.3, 2187.9]",280,2187,221,2162,426,2202,1,1,1,bracket,vision,0,
clock,Timers,baseline,co_present,"[480.6, 2187.9]",480,2187,482,2162,596,2202,1,1,1,bracket,vision,0,
clock,Stopwatch,baseline,co_present,"[689.6, 2187.9]",689,2187,666,2162,845,2202,1,1,1,bracket,vision,0,
clock,Bedtime,baseline,co_present,"[896.9, 2184.6]",896,2184,900,2162,1042,2202,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_text_heavy,co_present,"[195.5, 264.1]",195,264,95,221,319,304,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_text_heavy,co_present,"[229.5, 409.4]",229,409,95,325,393,480,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_text_heavy,co_present,"[176.6, 636.9]",176,636,95,591,309,674,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_text_heavy,co_present,"[226.8, 781.1]",226,781,95,695,408,850,1,1,1,bracket,vision,0,
clock,World Clock,elder_text_heavy,co_present,"[286.7, 2175.7]",286,2175,216,2160,432,2203,1,1,1,bracket,vision,0,
clock,Timers,elder_text_heavy,co_present,"[485.5, 2175.7]",485,2175,478,2160,600,2203,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_text_heavy,co_present,"[695.0, 2175.7]",695,2175,660,2160,851,2203,1,1,1,bracket,vision,0,
clock,Bedtime,elder_text_heavy,co_present,"[887.2, 2184.6]",887,2184,896,2160,1047,2203,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[189.0, 286.6]",189,286,108,252,303,322,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_zoom_heavy,co_present,"[265.7, 443.6]",265,443,108,346,448,523,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_zoom_heavy,co_present,"[175.5, 684.1]",175,684,108,649,293,719,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_zoom_heavy,co_present,"[284.0, 844.4]",284,844,108,743,466,920,1,1,1,bracket,vision,0,
clock,World Clock,elder_zoom_heavy,co_present,"[286.7, 2149.9]",286,2149,221,2130,426,2170,1,1,1,bracket,vision,0,
clock,Timers,elder_zoom_heavy,co_present,"[480.6, 2144.4]",480,2144,483,2130,597,2170,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_zoom_heavy,co_present,"[695.0, 2149.9]",695,2149,666,2130,845,2170,1,1,1,bracket,vision,0,
clock,Bedtime,elder_zoom_heavy,co_present,"[893.7, 2146.6]",893,2146,901,2130,1043,2170,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_combo_max,co_present,"[240.3, 333.1]",240,333,117,273,419,386,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_combo_max,co_present,"[284.6, 518.1]",284,518,117,412,495,609,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_combo_max,co_present,"[232.2, 808.8]",232,808,117,746,403,859,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_combo_max,co_present,"[273.8, 990.5]",273,990,117,885,513,1082,1,1,1,bracket,vision,0,
clock,World Clock,elder_combo_max,co_present,"[285.7, 2131.3]",285,2131,216,2106,432,2151,1,1,1,bracket,vision,0,
clock,Timers,elder_combo_max,co_present,"[485.5, 2131.3]",485,2131,476,2106,604,2151,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_combo_max,co_present,"[695.0, 2131.3]",695,2131,654,2106,857,2151,1,1,1,bracket,vision,0,
clock,Bedtime,elder_combo_max,co_present,"[887.2, 2131.3]",887,2131,892,2106,1052,2151,1,1,1,bracket,vision,0,
clock,Mon-Fri,elder_combo_mid,co_present,"[236.0, 305.2]",236,305,108,252,378,352,1,1,1,bracket,vision,0,
clock,8:30 AM,elder_combo_mid,co_present,"[259.7, 471.0]",259,471,108,376,448,553,1,1,1,bracket,vision,0,
clock,Sun Sat,elder_combo_mid,co_present,"[217.1, 730.2]",217,730,108,679,363,779,1,1,1,bracket,vision,0,
clock,9:00 AM,elder_combo_mid,co_present,"[265.1, 902.6]",265,902,108,803,466,980,1,1,1,bracket,vision,0,
clock,World Clock,elder_combo_mid,co_present,"[286.7, 2149.9]",286,2149,216,2130,432,2174,1,1,1,bracket,vision,0,
clock,Timers,elder_combo_mid,co_present,"[485.5, 2149.9]",485,2149,477,2130,603,2174,1,1,1,bracket,vision,0,
clock,Stopwatch,elder_combo_mid,co_present,"[695.0, 2149.9]",695,2149,658,2130,854,2174,1,1,1,bracket,vision,0,
clock,Bedtime,elder_combo_mid,co_present,"[895.9, 2153.2]",895,2153,894,2130,1049,2174,1,1,1,bracket,vision,0,
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[173.3, 254.1]",173,254,95,221,266,283,1,1,1,bracket,vision,0,
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[229.5, 386.1]",229,386,95,304,393,459,1,1,1,bracket,vision,0,
