screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space,image_sent_size
clock,Mon-Fri,baseline,co_present,"[128, 177]",181,250,95,221,266,283,1,1,1,bracket,vision,0,,763x1568
clock,8:30 AM,baseline,co_present,"[175, 270]",247,382,95,304,393,459,1,1,1,bracket,vision,0,,763x1568
clock,Sun Sat,baseline,co_present,"[124, 424]",175,600,95,570,256,632,1,1,1,bracket,vision,0,,763x1568
clock,9:00 AM,baseline,co_present,"[181, 517]",256,731,95,653,408,808,1,1,1,bracket,vision,0,,763x1568
clock,World Clock,baseline,co_present,"[230, 1509]",325,2135,221,2162,426,2202,1,1,1,bracket,vision,0,,763x1568
clock,Timers,baseline,co_present,"[383, 1516]",542,2145,482,2162,596,2202,1,1,1,bracket,vision,0,,763x1568
clock,Stopwatch,baseline,co_present,"[536, 1516]",758,2145,666,2162,845,2202,1,1,1,bracket,vision,0,,763x1568
clock,Bedtime,baseline,co_present,"[687, 1516]",972,2145,900,2162,1042,2202,1,1,1,bracket,vision,0,,763x1568
clock,Mon-Fri,elder_text_heavy,co_present,"[152, 185]",215,261,95,221,319,304,1,1,1,bracket,vision,0,,763x1568
clock,8:30 AM,elder_text_heavy,co_present,"[178, 285]",251,403,95,325,393,480,1,1,1,bracket,vision,0,,763x1568
clock,Sun Sat,elder_text_heavy,co_present,"[144, 447]",203,632,95,591,309,674,1,1,1,bracket,vision,0,,763x1568
clock,9:00 AM,elder_text_heavy,co_present,"[183, 547]",259,774,95,695,408,850,1,1,1,bracket,vision,0,,763x1568
clock,World Clock,elder_text_heavy,co_present,"[231, 1516]",326,2145,216,2160,432,2203,1,1,1,bracket,vision,0,,763x1568
clock,Timers,elder_text_heavy,co_present,"[384, 1516]",543,2145,478,2160,600,2203,1,1,1,bracket,vision,0,,763x1568
clock,Stopwatch,elder_text_heavy,co_present,"[538, 1516]",761,2145,660,2160,851,2203,1,1,1,bracket,vision,0,,763x1568
clock,Bedtime,elder_text_heavy,co_present,"[688, 1516]",973,2145,896,2160,1047,2203,1,1,1,bracket,vision,0,,763x1568
clock,Mon-Fri,elder_zoom_heavy,co_present,"[148, 204]",207,285,108,252,303,322,1,1,1,bracket,vision,0,,771x1568
clock,8:30 AM,elder_zoom_heavy,co_present,"[204, 310]",285,434,108,346,448,523,1,1,1,bracket,vision,0,,771x1568
clock,Sun Sat,elder_zoom_heavy,co_present,"[144, 488]",201,683,108,649,293,719,1,1,1,bracket,vision,0,,771x1568
clock,9:00 AM,elder_zoom_heavy,co_present,"[208, 594]",291,831,108,743,466,920,1,1,1,bracket,vision,0,,771x1568
clock,World Clock,elder_zoom_heavy,co_present,"[231, 1533]",323,2147,221,2130,426,2170,1,1,1,bracket,vision,0,,771x1568
clock,Timers,elder_zoom_heavy,co_present,"[386, 1494]",540,2092,483,2130,597,2170,0,1,0,bracket,vision,0,,771x1568
clock,Stopwatch,elder_zoom_heavy,co_present,"[540, 1494]",756,2092,666,2130,845,2170,0,1,0,bracket,vision,0,,771x1568
clock,Bedtime,elder_zoom_heavy,co_present,"[694, 1516]",972,2123,901,2130,1043,2170,1,1,1,bracket,vision,0,,771x1568
clock,Mon-Fri,elder_combo_max,co_present,"[196, 236]",272,327,117,273,419,386,1,1,1,bracket,vision,0,,778x1568
clock,8:30 AM,elder_combo_max,co_present,"[222, 369]",308,512,117,412,495,609,1,1,1,bracket,vision,0,,778x1568
clock,Sun Sat,elder_combo_max,co_present,"[191, 578]",265,802,117,746,403,859,1,1,1,bracket,vision,0,,778x1568
clock,9:00 AM,elder_combo_max,co_present,"[228, 708]",316,983,117,885,513,1082,1,1,1,bracket,vision,0,,778x1568
clock,World Clock,elder_combo_max,co_present,"[235, 1494]",326,2074,216,2106,432,2151,0,1,0,bracket,vision,0,,778x1568
clock,Timers,elder_combo_max,co_present,"[390, 1494]",541,2074,476,2106,604,2151,0,1,0,bracket,vision,0,,778x1568
clock,Stopwatch,elder_combo_max,co_present,"[547, 1494]",759,2074,654,2106,857,2151,0,1,0,bracket,vision,0,,778x1568
clock,Bedtime,elder_combo_max,co_present,"[700, 1506]",971,2090,892,2106,1052,2151,1,1,1,bracket,vision,0,,778x1568
clock,Mon-Fri,elder_combo_mid,co_present,"[178, 214]",249,299,108,252,378,352,1,1,1,bracket,vision,0,,771x1568
clock,8:30 AM,elder_combo_mid,co_present,"[201, 335]",281,469,108,376,448,553,1,1,1,bracket,vision,0,,771x1568
clock,Sun Sat,elder_combo_mid,co_present,"[172, 521]",240,729,108,679,363,779,1,1,1,bracket,vision,0,,771x1568
clock,9:00 AM,elder_combo_mid,co_present,"[210, 638]",294,893,108,803,466,980,1,1,1,bracket,vision,0,,771x1568
clock,World Clock,elder_combo_mid,co_present,"[233, 1537]",326,2152,216,2130,432,2174,1,1,1,bracket,vision,0,,771x1568
clock,Timers,elder_combo_mid,co_present,"[386, 1537]",540,2152,477,2130,603,2174,1,1,1,bracket,vision,0,,771x1568
clock,Stopwatch,elder_combo_mid,co_present,"[541, 1509]",757,2113,658,2130,854,2174,1,1,1,bracket,vision,0,,771x1568
clock,Bedtime,elder_combo_mid,co_present,"[694, 1537]",972,2152,894,2130,1049,2174,1,1,1,bracket,vision,0,,771x1568
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[128, 178]",181,251,95,221,266,283,1,1,1,bracket,vision,0,,763x1568
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[175, 270]",247,382,95,304,393,459,1,1,1,bracket,vision,0,,763x1568
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[124, 424]",175,600,95,570,256,632,1,1,1,bracket,vision,0,,763x1568
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[183, 517]",259,731,95,653,408,808,1,1,1,bracket,vision,0,,763x1568
clock,World Clock,colorblind_deuteranomaly,co_present,"[231, 1509]",326,2135,221,2162,426,2202,1,1,1,bracket,vision,0,,763x1568
clock,Timers,colorblind_deuteranomaly,co_present,"[384, 1516]",543,2145,482,2162,596,2202,1,1,1,bracket,vision,0,,763x1568
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[537, 1516]",760,2145,666,2162,845,2202,1,1,1,bracket,vision,0,,763x1568
clock,Bedtime,colorblind_deuteranomaly,co_present,"[688, 1516]",973,2145,900,2162,1042,2202,1,1,1,bracket,vision,0,,763x1568
contacts,All contacts,baseline,co_present,"[171, 178]",242,251,142,226,342,279,1,1,1,bracket,vision,0,,763x1568
contacts,Your info,baseline,co_present,"[201, 289]",284,409,221,389,346,431,1,1,1,bracket,vision,0,,763x1568
contacts,No contacts yet,baseline,co_present,"[381, 1051]",539,1487,317,1446,763,1530,1,1,1,bracket,vision,0,,763x1568
contacts,Contacts,baseline,co_present,"[127, 1509]",179,2135,110,2161,248,2203,1,1,1,bracket,vision,0,,763x1568
contacts,Highlights,baseline,co_present,"[381, 1508]",539,2134,463,2161,616,2203,1,1,1,bracket,vision,0,,763x1568
contacts,Organize,baseline,co_present,"[636, 1541]",900,2180,831,2161,968,2203,1,1,1,bracket,vision,0,,763x1568
contacts,All contacts,elder_text_heavy,co_present,"[200, 178]",283,251,142,214,436,291,1,1,1,bracket,vision,0,,763x1568
contacts,Your info,elder_text_heavy,co_present,"[219, 295]",309,417,221,389,400,448,1,1,1,bracket,vision,0,,763x1568
contacts,No contacts yet,elder_text_heavy,co_present,"[381, 1059]",539,1498,289,1453,792,1549,1,1,1,bracket,vision,0,,763x1568
contacts,Contacts,elder_text_heavy,co_present,"[127, 1504]",179,2128,84,2147,275,2203,1,1,1,bracket,vision,0,,763x1568
contacts,Highlights,elder_text_heavy,co_present,"[381, 1504]",539,2128,434,2147,646,2203,1,1,1,bracket,vision,0,,763x1568
contacts,Organize,elder_text_heavy,co_present,"[635, 1504]",898,2128,805,2147,994,2203,1,1,1,bracket,vision,0,,763x1568
contacts,All contacts,elder_zoom_heavy,co_present,"[197, 205]",275,287,162,258,394,318,1,1,1,bracket,vision,0,,771x1568
contacts,Your info,elder_zoom_heavy,co_present,"[232, 332]",324,465,252,444,396,492,1,1,1,bracket,vision,0,,771x1568
contacts,No contacts yet,elder_zoom_heavy,co_present,"[385, 1091]",539,1528,284,1482,796,1578,1,1,1,bracket,vision,0,,771x1568
contacts,Contacts,elder_zoom_heavy,co_present,"[128, 1509]",179,2113,101,2130,258,2178,1,1,1,bracket,vision,0,,771x1568
contacts,Highlights,elder_zoom_heavy,co_present,"[385, 1509]",539,2113,452,2130,627,2178,1,1,1,bracket,vision,0,,771x1568
contacts,Organize,elder_zoom_heavy,co_present,"[642, 1537]",899,2152,822,2130,977,2178,1,1,1,bracket,vision,0,,771x1568
contacts,All contacts,elder_combo_max,co_present,"[271, 222]",376,308,176,260,584,366,1,1,1,bracket,vision,0,,778x1568
contacts,Your info,elder_combo_max,co_present,"[284, 362]",394,502,273,483,523,567,1,1,1,bracket,vision,0,,778x1568
contacts,No contacts yet,elder_combo_max,co_present,"[389, 1133]",540,1573,199,1516,881,1645,1,1,1,bracket,vision,0,,778x1568
contacts,Contacts,elder_combo_max,co_present,"[130, 1484]",180,2060,46,2079,314,2157,0,1,0,bracket,vision,0,,778x1568
contacts,Highlights,elder_combo_max,co_present,"[389, 1511]",540,2097,390,2079,690,2157,1,1,1,bracket,vision,0,,778x1568
contacts,Organize,elder_combo_max,co_present,"[648, 1511]",899,2097,766,2079,1033,2157,1,1,1,bracket,vision,0,,778x1568
contacts,All contacts,elder_combo_mid,co_present,"[244, 204]",341,285,162,241,527,336,1,1,1,bracket,vision,0,,771x1568
contacts,Your info,elder_combo_mid,co_present,"[258, 341]",361,477,252,444,470,516,1,1,1,bracket,vision,0,,771x1568
contacts,No contacts yet,elder_combo_mid,co_present,"[385, 1105]",539,1547,242,1493,839,1605,1,1,1,bracket,vision,0,,771x1568
contacts,Contacts,elder_combo_mid,co_present,"[128, 1492]",179,2089,63,2111,297,2178,0,1,0,bracket,vision,0,,771x1568
contacts,Highlights,elder_combo_mid,co_present,"[385, 1490]",539,2086,409,2111,671,2178,0,1,0,bracket,vision,0,,771x1568
contacts,Organize,elder_combo_mid,co_present,"[641, 1492]",897,2089,784,2111,1016,2178,0,1,0,bracket,vision,0,,771x1568
contacts,All contacts,colorblind_deuteranomaly,co_present,"[171, 178]",242,251,142,226,342,279,1,1,1,bracket,vision,0,,763x1568
contacts,Your info,colorblind_deuteranomaly,co_present,"[200, 289]",283,409,221,389,346,431,1,1,1,bracket,vision,0,,763x1568
contacts,No contacts yet,colorblind_deuteranomaly,co_present,"[381, 1051]",539,1487,317,1446,763,1530,1,1,1,bracket,vision,0,,763x1568
contacts,Contacts,colorblind_deuteranomaly,co_present,"[127, 1511]",179,2138,110,2161,248,2203,1,1,1,bracket,vision,0,,763x1568
contacts,Highlights,colorblind_deuteranomaly,co_present,"[381, 1509]",539,2135,463,2161,616,2203,1,1,1,bracket,vision,0,,763x1568
contacts,Organize,colorblind_deuteranomaly,co_present,"[636, 1516]",900,2145,831,2161,968,2203,1,1,1,bracket,vision,0,,763x1568
dialer,Phone Number,baseline,co_present,"[381, 687]",539,972,147,900,933,1044,1,1,1,bracket,vision,0,,763x1568
dialer,1,baseline,co_present,"[132, 825]",186,1167,169,1093,203,1197,1,1,1,bracket,vision,0,,763x1568
dialer,2,baseline,co_present,"[381, 811]",539,1147,518,1097,561,1201,1,1,1,bracket,vision,0,,763x1568
dialer,ABC,baseline,co_present,"[381, 863]",539,1221,505,1201,574,1245,1,1,1,bracket,vision,0,,763x1568
dialer,3,baseline,co_present,"[630, 825]",891,1167,870,1097,914,1201,1,1,1,bracket,vision,0,,763x1568
dialer,DEF,baseline,co_present,"[630, 862]",891,1219,861,1201,924,1245,1,1,1,bracket,vision,0,,763x1568
dialer,4,baseline,co_present,"[132, 962]",186,1361,163,1288,210,1392,1,1,1,bracket,vision,0,,763x1568
dialer,GHI,baseline,co_present,"[132, 998]",186,1412,157,1392,216,1436,1,1,1,bracket,vision,0,,763x1568
dialer,5,baseline,co_present,"[381, 962]",539,1361,516,1288,562,1392,1,1,1,bracket,vision,0,,763x1568
dialer,JKL,baseline,co_present,"[381, 998]",539,1412,510,1392,569,1436,1,1,1,bracket,vision,0,,763x1568
dialer,6,baseline,co_present,"[630, 962]",891,1361,869,1288,915,1392,1,1,1,bracket,vision,0,,763x1568
dialer,MNO,baseline,co_present,"[630, 998]",891,1412,852,1392,933,1436,1,1,1,bracket,vision,0,,763x1568
dialer,7,baseline,co_present,"[132, 1097]",186,1552,166,1480,208,1584,1,1,1,bracket,vision,0,,763x1568
dialer,PQRS,baseline,co_present,"[132, 1133]",186,1603,142,1584,232,1628,1,1,1,bracket,vision,0,,763x1568
dialer,8,baseline,co_present,"[381, 1097]",539,1552,517,1480,562,1584,1,1,1,bracket,vision,0,,763x1568
dialer,TUV,baseline,co_present,"[381, 1133]",539,1603,507,1584,573,1628,1,1,1,bracket,vision,0,,763x1568
dialer,9,baseline,co_present,"[630, 1080]",891,1528,869,1480,915,1584,1,1,1,bracket,vision,0,,763x1568
dialer,WXYZ,baseline,co_present,"[630, 1133]",891,1603,846,1584,939,1628,1,1,1,bracket,vision,0,,763x1568
dialer,∗,baseline,co_present,"[132, 1230]",186,1740,168,1668,206,1780,1,1,1,bracket,vision,0,,763x1568
dialer,0,baseline,co_present,"[381, 1230]",539,1740,512,1672,567,1776,1,1,1,bracket,vision,0,,763x1568
dialer,+,baseline,co_present,"[381, 1273]",539,1801,529,1776,549,1820,1,1,1,bracket,vision,0,,763x1568
dialer,#,baseline,co_present,"[630, 1230]",891,1740,865,1672,921,1776,1,1,1,bracket,vision,0,,763x1568
dialer,Call,baseline,co_present,"[381, 1373]",539,1943,414,1871,666,2018,1,1,1,bracket,vision,0,,763x1568
dialer,Home,baseline,co_present,"[127, 1509]",179,2135,135,2161,224,2203,1,1,1,bracket,vision,0,,763x1568
dialer,Keypad,baseline,co_present,"[381, 1505]",539,2129,481,2161,597,2203,0,1,0,bracket,vision,0,,763x1568
dialer,Voicemail,baseline,co_present,"[636, 1504]",900,2128,826,2161,972,2203,0,1,0,bracket,vision,0,,763x1568
dialer,Phone Number,elder_text_heavy,co_present,"[381, 677]",539,958,147,886,933,1030,1,1,1,bracket,vision,0,,763x1568
dialer,1,elder_text_heavy,co_present,"[132, 812]",186,1149,169,1079,203,1183,1,1,1,bracket,vision,0,,763x1568
dialer,2,elder_text_heavy,co_present,"[381, 800]",539,1132,518,1083,561,1187,1,1,1,bracket,vision,0,,763x1568
