screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[180.4, 246.3]",180,246,95,221,266,283,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,baseline,co_present,"[244.1, 379.4]",244,379,95,304,393,459,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,baseline,co_present,"[175.0, 599.1]",175,599,95,570,256,632,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,baseline,co_present,"[254.9, 732.3]",254,732,95,653,408,808,1,1,1,bracket,vision,0,normalized
clock,World Clock,baseline,co_present,"[324.0, 2181.3]",324,2181,221,2162,426,2202,1,1,1,bracket,vision,0,normalized
clock,Timers,baseline,co_present,"[540.0, 2179.1]",540,2179,482,2162,596,2202,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,baseline,co_present,"[756.0, 2176.8]",756,2176,666,2162,845,2202,1,1,1,bracket,vision,0,normalized
clock,Bedtime,baseline,co_present,"[972.0, 2176.8]",972,2176,900,2162,1042,2202,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_text_heavy,co_present,"[207.4, 257.4]",207,257,95,221,319,304,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_text_heavy,co_present,"[244.1, 399.4]",244,399,95,325,393,480,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_text_heavy,co_present,"[200.9, 628.0]",200,628,95,591,309,674,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_text_heavy,co_present,"[257.0, 772.2]",257,772,95,695,408,850,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_text_heavy,co_present,"[324.0, 2174.6]",324,2174,216,2160,432,2203,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_text_heavy,co_present,"[540.0, 2181.3]",540,2181,478,2160,600,2203,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_text_heavy,co_present,"[757.1, 2181.3]",757,2181,660,2160,851,2203,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_text_heavy,co_present,"[972.0, 2176.8]",972,2176,896,2160,1047,2203,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_zoom_heavy,co_present,"[204.1, 281.1]",204,281,108,252,303,322,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_zoom_heavy,co_present,"[280.8, 430.4]",280,430,108,346,448,523,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_zoom_heavy,co_present,"[195.5, 680.8]",195,680,108,649,293,719,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_zoom_heavy,co_present,"[289.4, 830.1]",289,830,108,743,466,920,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_zoom_heavy,co_present,"[324.0, 2147.7]",324,2147,221,2130,426,2170,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_zoom_heavy,co_present,"[540.0, 2147.7]",540,2147,483,2130,597,2170,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_zoom_heavy,co_present,"[756.0, 2145.5]",756,2145,666,2130,845,2170,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_zoom_heavy,co_present,"[972.0, 2145.5]",972,2145,901,2130,1043,2170,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_combo_max,co_present,"[267.8, 326.6]",267,326,117,273,419,386,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_combo_max,co_present,"[307.8, 505.1]",307,505,117,412,495,609,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_combo_max,co_present,"[260.3, 801.1]",260,801,117,746,403,859,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_combo_max,co_present,"[316.4, 979.6]",316,979,117,885,513,1082,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_combo_max,co_present,"[324.0, 2122.6]",324,2122,216,2106,432,2151,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_combo_max,co_present,"[540.0, 2126.9]",540,2126,476,2106,604,2151,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_combo_max,co_present,"[756.0, 2124.8]",756,2124,654,2106,857,2151,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_combo_max,co_present,"[972.0, 2126.9]",972,2126,892,2106,1052,2151,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_combo_mid,co_present,"[244.1, 294.3]",244,294,108,252,378,352,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_combo_mid,co_present,"[280.8, 461.2]",280,461,108,376,448,553,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_combo_mid,co_present,"[233.3, 726.9]",233,726,108,679,363,779,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_combo_mid,co_present,"[290.5, 889.4]",290,889,108,803,466,980,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_combo_mid,co_present,"[324.0, 2152.1]",324,2152,216,2130,432,2174,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_combo_mid,co_present,"[540.0, 2152.1]",540,2152,477,2130,603,2174,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_combo_mid,co_present,"[756.0, 2149.9]",756,2149,658,2130,854,2174,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_combo_mid,co_present,"[972.0, 2147.7]",972,2147,894,2130,1049,2174,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[180.4, 250.7]",180,250,95,221,266,283,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[243.0, 379.4]",243,379,95,304,393,459,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[175.0, 599.1]",175,599,95,570,256,632,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[254.9, 725.6]",254,725,95,653,408,808,1,1,1,bracket,vision,0,normalized
clock,World Clock,colorblind_deuteranomaly,co_present,"[324.0, 2176.8]",324,2176,221,2162,426,2202,1,1,1,bracket,vision,0,normalized
clock,Timers,colorblind_deuteranomaly,co_present,"[540.0, 2179.1]",540,2179,482,2162,596,2202,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[756.0, 2179.1]",756,2179,666,2162,845,2202,1,1,1,bracket,vision,0,normalized
clock,Bedtime,colorblind_deuteranomaly,co_present,"[972.0, 2174.6]",972,2174,900,2162,1042,2202,1,1,1,bracket,vision,0,normalized
contacts,All contacts,baseline,co_present,"[240.8, 250.7]",240,250,142,226,342,279,1,1,1,bracket,vision,0,normalized
contacts,Your info,baseline,co_present,"[281.9, 401.6]",281,401,221,389,346,431,1,1,1,bracket,vision,0,normalized
contacts,No contacts yet,baseline,co_present,"[540.0, 1486.7]",540,1486,317,1446,763,1530,1,1,1,bracket,vision,0,normalized
contacts,Contacts,baseline,co_present,"[180.4, 2181.3]",180,2181,110,2161,248,2203,1,1,1,bracket,vision,0,normalized
contacts,Highlights,baseline,co_present,"[540.0, 2181.3]",540,2181,463,2161,616,2203,1,1,1,bracket,vision,0,normalized
contacts,Organize,baseline,co_present,"[899.6, 2183.5]",899,2183,831,2161,968,2203,1,1,1,bracket,vision,0,normalized
contacts,All contacts,elder_text_heavy,co_present,"[287.3, 250.7]",287,250,142,214,436,291,1,1,1,bracket,vision,0,normalized
contacts,Your info,elder_text_heavy,co_present,"[308.9, 417.2]",308,417,221,389,400,448,1,1,1,bracket,vision,0,normalized
