screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[180, 251]",180,251,95,221,266,283,1,1,1,bracket,tree,62,
clock,8:30 AM,baseline,co_present,"[248, 380]",248,380,95,304,393,459,1,1,1,bracket,tree,62,
clock,Sun Sat,baseline,co_present,"[176, 601]",176,601,95,570,256,632,1,1,1,bracket,tree,62,
clock,9:00 AM,baseline,co_present,"[216, 730]",216,730,95,653,408,808,1,1,1,bracket,tree,62,
clock,World Clock,baseline,co_present,"[324, 2183]",324,2183,221,2162,426,2202,1,1,1,bracket,tree,59,
clock,Timers,baseline,co_present,"[540, 2168]",540,2168,482,2162,596,2202,1,1,1,bracket,tree,57,
clock,Stopwatch,baseline,co_present,"[756, 2190]",756,2190,666,2162,845,2202,1,1,1,bracket,tree,59,
clock,Bedtime,baseline,co_present,"[971, 2186]",971,2186,900,2162,1042,2202,1,1,1,bracket,tree,59,
clock,Mon-Fri,elder_text_heavy,co_present,"[208, 261]",208,261,95,221,319,304,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_text_heavy,co_present,"[245, 400]",245,400,95,325,393,480,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_text_heavy,co_present,"[201, 632]",201,632,95,591,309,674,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_text_heavy,co_present,"[250, 771]",250,771,95,695,408,850,1,1,1,bracket,tree,62,
clock,World Clock,elder_text_heavy,co_present,"[325, 2120]",325,2120,216,2160,432,2203,0,1,0,bracket,tree,59,
clock,Timers,elder_text_heavy,co_present,"[540, 2169]",540,2169,478,2160,600,2203,1,1,1,bracket,tree,57,
clock,Stopwatch,elder_text_heavy,co_present,"[756, 2187]",756,2187,660,2160,851,2203,1,1,1,bracket,tree,59,
clock,Bedtime,elder_text_heavy,co_present,"[970, 2189]",970,2189,896,2160,1047,2203,1,1,1,bracket,tree,59,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[204, 285]",204,285,108,252,303,322,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_zoom_heavy,co_present,"[280, 435]",280,435,108,346,448,523,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_zoom_heavy,co_present,"[200, 684]",200,684,108,649,293,719,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_zoom_heavy,co_present,"[248, 831]",248,831,108,743,466,920,1,1,1,bracket,tree,62,
clock,World Clock,elder_zoom_heavy,co_present,"[323, 2149]",323,2149,221,2130,426,2170,1,1,1,bracket,tree,59,
clock,Timers,elder_zoom_heavy,co_present,"[540, 2148]",540,2148,483,2130,597,2170,1,1,1,bracket,tree,57,
