screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent
clock,Mon-Fri,baseline,co_present,"[180, 251]",180,251,95,221,266,283,1,1,1,bracket,vision,0
clock,8:30 AM,baseline,co_present,"[246, 380]",246,380,95,304,393,459,1,1,1,bracket,vision,0
clock,Sun Sat,baseline,co_present,"[175, 600]",175,600,95,570,256,632,1,1,1,bracket,vision,0
clock,9:00 AM,baseline,co_present,"[223, 730]",223,730,95,653,408,808,1,1,1,bracket,vision,0
clock,World Clock,baseline,co_present,"[324, 2160]",324,2160,221,2162,426,2202,1,1,1,bracket,vision,0
clock,Timers,baseline,co_present,"[540, 2187]",540,2187,482,2162,596,2202,1,1,1,bracket,vision,0
clock,Stopwatch,baseline,co_present,"[756, 2174]",756,2174,666,2162,845,2202,1,1,1,bracket,vision,0
clock,Bedtime,baseline,co_present,"[973, 2163]",973,2163,900,2162,1042,2202,1,1,1,bracket,vision,0
clock,Mon-Fri,elder_text_heavy,co_present,"[207, 261]",207,261,95,221,319,304,1,1,1,bracket,vision,0
clock,8:30 AM,elder_text_heavy,co_present,"[245, 401]",245,401,95,325,393,480,1,1,1,bracket,vision,0
clock,Sun Sat,elder_text_heavy,co_present,"[201, 631]",201,631,95,591,309,674,1,1,1,bracket,vision,0
clock,9:00 AM,elder_text_heavy,co_present,"[252, 771]",252,771,95,695,408,850,1,1,1,bracket,vision,0
clock,World Clock,elder_text_heavy,co_present,"[326, 2188]",326,2188,216,2160,432,2203,1,1,1,bracket,vision,0
clock,Timers,elder_text_heavy,co_present,"[541, 2187]",541,2187,478,2160,600,2203,1,1,1,bracket,vision,0
clock,Stopwatch,elder_text_heavy,co_present,"[756, 2157]",756,2157,660,2160,851,2203,1,1,1,bracket,vision,0
clock,Bedtime,elder_text_heavy,co_present,"[972, 2187]",972,2187,896,2160,1047,2203,1,1,1,bracket,vision,0
clock,Mon-Fri,elder_zoom_heavy,co_present,"[204, 286]",204,286,108,252,303,322,1,1,1,bracket,vision,0
clock,8:30 AM,elder_zoom_heavy,co_present,"[281, 434]",281,434,108,346,448,523,1,1,1,bracket,vision,0
clock,Sun Sat,elder_zoom_heavy,co_present,"[201, 683]",201,683,108,649,293,719,1,1,1,bracket,vision,0
clock,9:00 AM,elder_zoom_heavy,co_present,"[290, 830]",290,830,108,743,466,920,1,1,1,bracket,vision,0
clock,World Clock,elder_zoom_heavy,co_present,"[325, 2162]",325,2162,221,2130,426,2170,1,1,1,bracket,vision,0
clock,Timers,elder_zoom_heavy,co_present,"[538, 2148]",538,2148,483,2130,597,2170,1,1,1,bracket,vision,0
clock,Stopwatch,elder_zoom_heavy,co_present,"[755, 2154]",755,2154,666,2130,845,2170,1,1,1,bracket,vision,0
clock,Bedtime,elder_zoom_heavy,co_present,"[973, 2163]",973,2163,901,2130,1043,2170,1,1,1,bracket,vision,0
clock,Mon-Fri,elder_combo_max,co_present,"[268, 331]",268,331,117,273,419,386,1,1,1,bracket,vision,0
clock,8:30 AM,elder_combo_max,co_present,"[307, 509]",307,509,117,412,495,609,1,1,1,bracket,vision,0
clock,Sun Sat,elder_combo_max,co_present,"[260, 801]",260,801,117,746,403,859,1,1,1,bracket,vision,0
clock,9:00 AM,elder_combo_max,co_present,"[316, 982]",316,982,117,885,513,1082,1,1,1,bracket,vision,0
clock,World Clock,elder_combo_max,co_present,"[324, 2133]",324,2133,216,2106,432,2151,1,1,1,bracket,vision,0
clock,Timers,elder_combo_max,co_present,"[542, 2134]",542,2134,476,2106,604,2151,1,1,1,bracket,vision,0
clock,Stopwatch,elder_combo_max,co_present,"[756, 2111]",756,2111,654,2106,857,2151,1,1,1,bracket,vision,0
clock,Bedtime,elder_combo_max,co_present,"[972, 2106]",972,2106,892,2106,1052,2151,1,1,1,bracket,vision,0
clock,Mon-Fri,elder_combo_mid,co_present,"[242, 300]",242,300,108,252,378,352,1,1,1,bracket,vision,0
clock,8:30 AM,elder_combo_mid,co_present,"[279, 465]",279,465,108,376,448,553,1,1,1,bracket,vision,0
clock,Sun Sat,elder_combo_mid,co_present,"[236, 727]",236,727,108,679,363,779,1,1,1,bracket,vision,0
clock,9:00 AM,elder_combo_mid,co_present,"[289, 890]",289,890,108,803,466,980,1,1,1,bracket,vision,0
clock,World Clock,elder_combo_mid,co_present,"[324, 2161]",324,2161,216,2130,432,2174,1,1,1,bracket,vision,0
clock,Timers,elder_combo_mid,co_present,"[540, 2161]",540,2161,477,2130,603,2174,1,1,1,bracket,vision,0
clock,Stopwatch,elder_combo_mid,co_present,"[757, 2140]",757,2140,658,2130,854,2174,1,1,1,bracket,vision,0
clock,Bedtime,elder_combo_mid,co_present,"[972, 2161]",972,2161,894,2130,1049,2174,1,1,1,bracket,vision,0
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[179, 251]",179,251,95,221,266,283,1,1,1,bracket,vision,0
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[246, 380]",246,380,95,304,393,459,1,1,1,bracket,vision,0
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[175, 600]",175,600,95,570,256,632,1,1,1,bracket,vision,0
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[220, 730]",220,730,95,653,408,808,1,1,1,bracket,vision,0
clock,World Clock,colorblind_deuteranomaly,co_present,"[322, 2161]",322,2161,221,2162,426,2202,1,1,1,bracket,vision,0
clock,Timers,colorblind_deuteranomaly,co_present,"[540, 2160]",540,2160,482,2162,596,2202,1,1,1,bracket,vision,0
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[757, 2183]",757,2183,666,2162,845,2202,1,1,1,bracket,vision,0
clock,Bedtime,colorblind_deuteranomaly,co_present,"[973, 2162]",973,2162,900,2162,1042,2202,1,1,1,bracket,vision,0
