screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[167, 230]",167,230,95,221,266,283,1,1,1,bracket,tree,62,
clock,8:30 AM,baseline,co_present,"[218, 350]",218,350,95,304,393,459,1,1,1,bracket,tree,62,
clock,Sun Sat,baseline,co_present,"[181, 601]",181,601,95,570,256,632,1,1,1,bracket,tree,62,
clock,9:00 AM,baseline,co_present,"[208, 673]",208,673,95,653,408,808,1,1,1,bracket,tree,62,
clock,World Clock,baseline,co_present,"[306, 2190]",306,2190,221,2162,426,2202,1,1,1,bracket,tree,59,
clock,Timers,baseline,co_present,"[507, 2019]",507,2019,482,2162,596,2202,0,1,0,bracket,tree,57,
clock,Stopwatch,baseline,co_present,"[734, 2171]",734,2171,666,2162,845,2202,1,1,1,bracket,tree,59,
clock,Bedtime,baseline,co_present,"[948, 2164]",948,2164,900,2162,1042,2202,1,1,1,bracket,tree,59,
clock,Mon-Fri,elder_text_heavy,co_present,"[202, 244]",202,244,95,221,319,304,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_text_heavy,co_present,"[257, 370]",257,370,95,325,393,480,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_text_heavy,co_present,"[189, 583]",189,583,95,591,309,674,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_text_heavy,co_present,"[222, 712]",222,712,95,695,408,850,1,1,1,bracket,tree,62,
clock,World Clock,elder_text_heavy,co_present,"[304, 2181]",304,2181,216,2160,432,2203,1,1,1,bracket,tree,59,
clock,Timers,elder_text_heavy,co_present,"[503, 2014]",503,2014,478,2160,600,2203,0,1,0,bracket,tree,57,
clock,Stopwatch,elder_text_heavy,co_present,"[723, 2014]",723,2014,660,2160,851,2203,0,1,0,bracket,tree,59,
clock,Bedtime,elder_text_heavy,co_present,"[931, 2018]",931,2018,896,2160,1047,2203,0,1,0,bracket,tree,59,
clock,Mon-Fri,elder_zoom_heavy,co_present,"[197, 265]",197,265,108,252,303,322,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_zoom_heavy,co_present,"[262, 403]",262,403,108,346,448,523,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_zoom_heavy,co_present,"[206, 684]",206,684,108,649,293,719,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_zoom_heavy,co_present,"[269, 774]",269,774,108,743,466,920,1,1,1,bracket,tree,62,
clock,World Clock,elder_zoom_heavy,co_present,"[321, 2151]",321,2151,221,2130,426,2170,1,1,1,bracket,tree,59,
clock,Timers,elder_zoom_heavy,co_present,"[540, 2148]",540,2148,483,2130,597,2170,1,1,1,bracket,tree,57,
clock,Stopwatch,elder_zoom_heavy,co_present,"[723, 2148]",723,2148,666,2130,845,2170,1,1,1,bracket,tree,59,
clock,Bedtime,elder_zoom_heavy,co_present,"[967, 2161]",967,2161,901,2130,1043,2170,1,1,1,bracket,tree,59,
clock,Mon-Fri,elder_combo_max,co_present,"[252, 309]",252,309,117,273,419,386,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_combo_max,co_present,"[286, 479]",286,479,117,412,495,609,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_combo_max,co_present,"[255, 754]",255,754,117,746,403,859,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_combo_max,co_present,"[287, 923]",287,923,117,885,513,1082,1,1,1,bracket,tree,62,
clock,World Clock,elder_combo_max,co_present,"[324, 2073]",324,2073,216,2106,432,2151,0,1,0,bracket,tree,59,
clock,Timers,elder_combo_max,co_present,"[540, 2139]",540,2139,476,2106,604,2151,1,1,1,bracket,tree,58,
clock,Stopwatch,elder_combo_max,co_present,"[756, 2109]",756,2109,654,2106,857,2151,1,1,1,bracket,tree,59,
clock,Bedtime,elder_combo_max,co_present,"[927, 2106]",927,2106,892,2106,1052,2151,1,1,1,bracket,tree,59,
clock,Mon-Fri,elder_combo_mid,co_present,"[227, 278]",227,278,108,252,378,352,1,1,1,bracket,tree,62,
clock,8:30 AM,elder_combo_mid,co_present,"[281, 431]",281,431,108,376,448,553,1,1,1,bracket,tree,62,
clock,Sun Sat,elder_combo_mid,co_present,"[243, 729]",243,729,108,679,363,779,1,1,1,bracket,tree,62,
clock,9:00 AM,elder_combo_mid,co_present,"[272, 830]",272,830,108,803,466,980,1,1,1,bracket,tree,62,
clock,World Clock,elder_combo_mid,co_present,"[324, 2158]",324,2158,216,2130,432,2174,1,1,1,bracket,tree,59,
clock,Timers,elder_combo_mid,co_present,"[540, 2152]",540,2152,477,2130,603,2174,1,1,1,bracket,tree,58,
clock,Stopwatch,elder_combo_mid,co_present,"[758, 2140]",758,2140,658,2130,854,2174,1,1,1,bracket,tree,59,
clock,Bedtime,elder_combo_mid,co_present,"[977, 2139]",977,2139,894,2130,1049,2174,1,1,1,bracket,tree,59,
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[198, 230]",198,230,95,221,266,283,1,1,1,bracket,tree,62,
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[235, 349]",235,349,95,304,393,459,1,1,1,bracket,tree,62,
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[181, 601]",181,601,95,570,256,632,1,1,1,bracket,tree,62,
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[917, 731]",917,731,95,653,408,808,0,1,0,bracket,tree,62,
clock,World Clock,colorblind_deuteranomaly,co_present,"[324, 2190]",324,2190,221,2162,426,2202,1,1,1,bracket,tree,59,
clock,Timers,colorblind_deuteranomaly,co_present,"[540, 2182]",540,2182,482,2162,596,2202,1,1,1,bracket,tree,57,
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[755, 2182]",755,2182,666,2162,845,2202,1,1,1,bracket,tree,59,
clock,Bedtime,colorblind_deuteranomaly,co_present,"[945, 2180]",945,2180,900,2162,1042,2202,1,1,1,bracket,tree,59,
contacts,All contacts,baseline,co_present,"[224, 231]",224,231,142,226,342,279,1,1,1,bracket,tree,66,
contacts,Your info,baseline,co_present,"[263, 379]",263,379,221,389,346,431,1,1,1,bracket,tree,68,
contacts,No contacts yet,baseline,co_present,"[495, 1370]",495,1370,317,1446,763,1530,0,1,0,bracket,tree,68,
contacts,Contacts,baseline,co_present,"[180, 2168]",180,2168,110,2161,248,2203,1,1,1,bracket,tree,65,
contacts,Highlights,baseline,co_present,"[519, 2035]",519,2035,463,2161,616,2203,0,1,0,bracket,tree,63,
contacts,Organize,baseline,co_present,"[880, 2167]",880,2167,831,2161,968,2203,1,1,1,bracket,tree,65,
contacts,All contacts,elder_text_heavy,co_present,"[284, 230]",284,230,142,214,436,291,1,1,1,bracket,tree,66,
contacts,Your info,elder_text_heavy,co_present,"[299, 385]",299,385,221,389,400,448,1,1,1,bracket,tree,68,
contacts,No contacts yet,elder_text_heavy,co_present,"[515, 1385]",515,1385,289,1453,792,1549,0,1,0,bracket,tree,68,
contacts,Contacts,elder_text_heavy,co_present,"[180, 2094]",180,2094,84,2147,275,2203,0,1,0,bracket,tree,65,
contacts,Highlights,elder_text_heavy,co_present,"[540, 2010]",540,2010,434,2147,646,2203,0,1,0,bracket,tree,63,
contacts,Organize,elder_text_heavy,co_present,"[862, 2010]",862,2010,805,2147,994,2203,0,1,0,bracket,tree,65,
contacts,All contacts,elder_zoom_heavy,co_present,"[293, 265]",293,265,162,258,394,318,1,1,1,bracket,tree,66,
contacts,Your info,elder_zoom_heavy,co_present,"[314, 434]",314,434,252,444,396,492,1,1,1,bracket,tree,68,
contacts,No contacts yet,elder_zoom_heavy,co_present,"[505, 1420]",505,1420,284,1482,796,1578,0,1,0,bracket,tree,68,
contacts,Contacts,elder_zoom_heavy,co_present,"[170, 2010]",170,2010,101,2130,258,2178,0,1,0,bracket,tree,65,
contacts,Highlights,elder_zoom_heavy,co_present,"[540, 2015]",540,2015,452,2130,627,2178,0,1,0,bracket,tree,64,
contacts,Organize,elder_zoom_heavy,co_present,"[902, 2162]",902,2162,822,2130,977,2178,1,1,1,bracket,tree,65,
contacts,All contacts,elder_combo_max,co_present,"[385, 294]",385,294,176,260,584,366,1,1,1,bracket,tree,66,
contacts,Your info,elder_combo_max,co_present,"[392, 490]",392,490,273,483,523,567,1,1,1,bracket,tree,68,
contacts,No contacts yet,elder_combo_max,co_present,"[510, 1490]",510,1490,199,1516,881,1645,0,1,0,bracket,tree,68,
contacts,Contacts,elder_combo_max,co_present,"[170, 2086]",170,2086,46,2079,314,2157,1,1,1,bracket,tree,65,
contacts,Highlights,elder_combo_max,co_present,"[508, 1986]",508,1986,390,2079,690,2157,0,1,0,bracket,tree,64,
contacts,Organize,elder_combo_max,co_present,"[856, 2119]",856,2119,766,2079,1033,2157,1,1,1,bracket,tree,65,
