screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[179.3, 253.0]",179,253,95,221,266,283,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,baseline,co_present,"[251.6, 379.4]",251,379,95,304,393,459,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,baseline,co_present,"[180.4, 601.3]",180,601,95,570,256,632,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,baseline,co_present,"[244.1, 730.1]",244,730,95,653,408,808,1,1,1,bracket,tree,62,normalized
clock,World Clock,baseline,co_present,"[324.0, 2181.3]",324,2181,221,2162,426,2202,1,1,1,bracket,tree,59,normalized
clock,Timers,baseline,co_present,"[540.0, 2179.1]",540,2179,482,2162,596,2202,1,1,1,bracket,tree,57,normalized
clock,Stopwatch,baseline,co_present,"[756.0, 2181.3]",756,2181,666,2162,845,2202,1,1,1,bracket,tree,59,normalized
clock,Bedtime,baseline,co_present,"[972.0, 2181.3]",972,2181,900,2162,1042,2202,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,elder_text_heavy,co_present,"[199.8, 261.8]",199,261,95,221,319,304,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,elder_text_heavy,co_present,"[261.4, 401.6]",261,401,95,325,393,480,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,elder_text_heavy,co_present,"[207.4, 632.4]",207,632,95,591,309,674,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,elder_text_heavy,co_present,"[244.1, 772.2]",244,772,95,695,408,850,1,1,1,bracket,tree,62,normalized
clock,World Clock,elder_text_heavy,co_present,"[324.0, 2181.3]",324,2181,216,2160,432,2203,1,1,1,bracket,tree,59,normalized
clock,Timers,elder_text_heavy,co_present,"[540.0, 2181.3]",540,2181,478,2160,600,2203,1,1,1,bracket,tree,57,normalized
clock,Stopwatch,elder_text_heavy,co_present,"[756.0, 2179.1]",756,2179,660,2160,851,2203,1,1,1,bracket,tree,59,normalized
clock,Bedtime,elder_text_heavy,co_present,"[972.0, 2181.3]",972,2181,896,2160,1047,2203,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,elder_zoom_heavy,co_present,"[200.9, 287.7]",200,287,108,252,303,322,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,elder_zoom_heavy,co_present,"[287.3, 434.8]",287,434,108,346,448,523,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,elder_zoom_heavy,co_present,"[194.4, 683.0]",194,683,108,649,293,719,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,elder_zoom_heavy,co_present,"[277.6, 832.3]",277,832,108,743,466,920,1,1,1,bracket,tree,62,normalized
clock,World Clock,elder_zoom_heavy,co_present,"[324.0, 2149.9]",324,2149,221,2130,426,2170,1,1,1,bracket,tree,59,normalized
clock,Timers,elder_zoom_heavy,co_present,"[540.0, 2149.9]",540,2149,483,2130,597,2170,1,1,1,bracket,tree,57,normalized
clock,Stopwatch,elder_zoom_heavy,co_present,"[756.0, 2149.9]",756,2149,666,2130,845,2170,1,1,1,bracket,tree,59,normalized
clock,Bedtime,elder_zoom_heavy,co_present,"[972.0, 2149.9]",972,2149,901,2130,1043,2170,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,elder_combo_max,co_present,"[265.7, 328.7]",265,328,117,273,419,386,1,1,1,bracket,tree,62,normalized
clock,8:30 AM,elder_combo_max,co_present,"[315.4, 509.4]",315,509,117,412,495,609,1,1,1,bracket,tree,62,normalized
clock,Sun Sat,elder_combo_max,co_present,"[259.2, 803.3]",259,803,117,746,403,859,1,1,1,bracket,tree,62,normalized
clock,9:00 AM,elder_combo_max,co_present,"[305.6, 984.0]",305,984,117,885,513,1082,1,1,1,bracket,tree,62,normalized
clock,World Clock,elder_combo_max,co_present,"[324.0, 2129.1]",324,2129,216,2106,432,2151,1,1,1,bracket,tree,59,normalized
clock,Timers,elder_combo_max,co_present,"[540.0, 2129.1]",540,2129,476,2106,604,2151,1,1,1,bracket,tree,58,normalized
clock,Stopwatch,elder_combo_max,co_present,"[756.0, 2129.1]",756,2129,654,2106,857,2151,1,1,1,bracket,tree,59,normalized
clock,Bedtime,elder_combo_max,co_present,"[972.0, 2129.1]",972,2129,892,2106,1052,2151,1,1,1,bracket,tree,59,normalized
clock,Mon-Fri,elder_combo_mid,co_present,"[240.8, 300.9]",240,300,108,252,378,352,1,1,1,bracket,tree,62,normalized
