screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent,coord_space
clock,Mon-Fri,baseline,co_present,"[179.3, 253.0]",179,253,95,221,266,283,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,baseline,co_present,"[244.1, 381.7]",244,381,95,304,393,459,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,baseline,co_present,"[175.0, 596.9]",175,596,95,570,256,632,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,baseline,co_present,"[250.6, 730.1]",250,730,95,653,408,808,1,1,1,bracket,vision,0,normalized
clock,World Clock,baseline,co_present,"[324.0, 2179.1]",324,2179,221,2162,426,2202,1,1,1,bracket,vision,0,normalized
clock,Timers,baseline,co_present,"[538.9, 2176.8]",538,2176,482,2162,596,2202,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,baseline,co_present,"[756.0, 2176.8]",756,2176,666,2162,845,2202,1,1,1,bracket,vision,0,normalized
clock,Bedtime,baseline,co_present,"[972.0, 2176.8]",972,2176,900,2162,1042,2202,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_text_heavy,co_present,"[207.4, 261.8]",207,261,95,221,319,304,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_text_heavy,co_present,"[248.4, 403.9]",248,403,95,325,393,480,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_text_heavy,co_present,"[199.8, 628.0]",199,628,95,591,309,674,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_text_heavy,co_present,"[251.6, 770.0]",251,770,95,695,408,850,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_text_heavy,co_present,"[322.9, 2176.8]",322,2176,216,2160,432,2203,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_text_heavy,co_present,"[538.9, 2176.8]",538,2176,478,2160,600,2203,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_text_heavy,co_present,"[756.0, 2176.8]",756,2176,660,2160,851,2203,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_text_heavy,co_present,"[972.0, 2179.1]",972,2179,896,2160,1047,2203,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_zoom_heavy,co_present,"[206.3, 278.9]",206,278,108,252,303,322,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_zoom_heavy,co_present,"[278.6, 445.8]",278,445,108,346,448,523,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_zoom_heavy,co_present,"[199.8, 678.6]",199,678,108,649,293,719,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_zoom_heavy,co_present,"[290.5, 823.5]",290,823,108,743,466,920,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_zoom_heavy,co_present,"[324.0, 2145.5]",324,2145,221,2130,426,2170,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_zoom_heavy,co_present,"[540.0, 2145.5]",540,2145,483,2130,597,2170,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_zoom_heavy,co_present,"[756.0, 2143.3]",756,2143,666,2130,845,2170,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_zoom_heavy,co_present,"[973.1, 2149.9]",973,2149,901,2130,1043,2170,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_combo_max,co_present,"[266.8, 324.4]",266,324,117,273,419,386,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_combo_max,co_present,"[308.9, 513.8]",308,513,117,412,495,609,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_combo_max,co_present,"[259.2, 794.6]",259,794,117,746,403,859,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_combo_max,co_present,"[317.5, 981.8]",317,981,117,885,513,1082,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_combo_max,co_present,"[324.0, 2070.3]",324,2070,216,2106,432,2151,0,1,0,bracket,vision,0,normalized
clock,Timers,elder_combo_max,co_present,"[540.0, 2126.9]",540,2126,476,2106,604,2151,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_combo_max,co_present,"[756.0, 2126.9]",756,2126,654,2106,857,2151,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_combo_max,co_present,"[970.9, 2126.9]",970,2126,892,2106,1052,2151,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,elder_combo_mid,co_present,"[243.0, 300.9]",243,300,108,252,378,352,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,elder_combo_mid,co_present,"[279.7, 463.4]",279,463,108,376,448,553,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,elder_combo_mid,co_present,"[235.4, 724.7]",235,724,108,679,363,779,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,elder_combo_mid,co_present,"[286.2, 885.0]",286,885,108,803,466,980,1,1,1,bracket,vision,0,normalized
clock,World Clock,elder_combo_mid,co_present,"[324.0, 2143.3]",324,2143,216,2130,432,2174,1,1,1,bracket,vision,0,normalized
clock,Timers,elder_combo_mid,co_present,"[540.0, 2145.5]",540,2145,477,2130,603,2174,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,elder_combo_mid,co_present,"[756.0, 2147.7]",756,2147,658,2130,854,2174,1,1,1,bracket,vision,0,normalized
clock,Bedtime,elder_combo_mid,co_present,"[972.0, 2145.5]",972,2145,894,2130,1049,2174,1,1,1,bracket,vision,0,normalized
clock,Mon-Fri,colorblind_deuteranomaly,co_present,"[179.3, 248.5]",179,248,95,221,266,283,1,1,1,bracket,vision,0,normalized
clock,8:30 AM,colorblind_deuteranomaly,co_present,"[246.2, 379.4]",246,379,95,304,393,459,1,1,1,bracket,vision,0,normalized
clock,Sun Sat,colorblind_deuteranomaly,co_present,"[175.0, 596.9]",175,596,95,570,256,632,1,1,1,bracket,vision,0,normalized
clock,9:00 AM,colorblind_deuteranomaly,co_present,"[253.8, 730.1]",253,730,95,653,408,808,1,1,1,bracket,vision,0,normalized
clock,World Clock,colorblind_deuteranomaly,co_present,"[324.0, 2179.1]",324,2179,221,2162,426,2202,1,1,1,bracket,vision,0,normalized
clock,Timers,colorblind_deuteranomaly,co_present,"[540.0, 2176.8]",540,2176,482,2162,596,2202,1,1,1,bracket,vision,0,normalized
clock,Stopwatch,colorblind_deuteranomaly,co_present,"[756.0, 2179.1]",756,2179,666,2162,845,2202,1,1,1,bracket,vision,0,normalized
clock,Bedtime,colorblind_deuteranomaly,co_present,"[970.9, 2176.8]",970,2176,900,2162,1042,2202,1,1,1,bracket,vision,0,normalized
contacts,All contacts,baseline,co_present,"[241.9, 253.0]",241,253,142,226,342,279,1,1,1,bracket,vision,0,normalized
contacts,Your info,baseline,co_present,"[281.9, 406.1]",281,406,221,389,346,431,1,1,1,bracket,vision,0,normalized
contacts,No contacts yet,baseline,co_present,"[540.0, 1486.7]",540,1486,317,1446,763,1530,1,1,1,bracket,vision,0,normalized
contacts,Contacts,baseline,co_present,"[179.3, 2176.8]",179,2176,110,2161,248,2203,1,1,1,bracket,vision,0,normalized
contacts,Highlights,baseline,co_present,"[538.9, 2176.8]",538,2176,463,2161,616,2203,1,1,1,bracket,vision,0,normalized
contacts,Organize,baseline,co_present,"[899.6, 2176.8]",899,2176,831,2161,968,2203,1,1,1,bracket,vision,0,normalized
